"date" "BAC" "INTC" "JPM" "LIN" "MCD" "MSFT" "PG" "T" "VZ" "WMT" "SP500" "Mkt.RF" "SMB" "HML" "RF"
"1976" 2008-07-15 -0.0808932911591327 0.0117240385222268 -0.0211422601069509 -0.00284166870126634 0.00809115646306213 0.0397611056244591 0.00656952049128234 -0.0129751133876255 0.00458696682330451 -0.00124304844999357 -0.0109012574011547 -0.96 1.16 -1.17 0.007
"1977" 2008-07-16 0.22408189816145 0.00965728357926676 0.158607083015676 0.000876723942890179 0.0273223818292505 0.0424478071664143 -0.000938225554881433 -0.000938942043796298 0.00970305768739421 0.0128024866661236 0.0250635439232862 2.52 0.01 4.76 0.007
"1978" 2008-07-17 0.168945668849127 0.0516501100523323 0.135225153944967 0.0107305176993069 0.00349065950682559 0.00953789122810256 0 -0.00532559009128353 0.00141283846999674 0.0126399229913754 0.0120125595652569 1.13 -0.1 4.14 0.007
"1979" 2008-07-18 0.0373587467231091 0.00454760665931642 -0.0191176797910739 -0.0137579006574755 0.00115968250521492 -0.0603200633038715 -0.00344358767099284 0.011653373209686 0.000565051545684092 0.00416100406280662 0.000285727446544648 -0.08 -0.8 1.12 0.007
"1980" 2008-07-21 0.0389232462025353 0 -0.0342325828998586 0.0121925292195995 -0.0114168452202833 -0.0085072552571549 -0.000470618093530883 -0.00902862463081699 -0.00846266745270385 -0.0105313155273161 -0.000539434250460435 0.16 0.3 -0.56 0.007
"1981" 2008-07-22 0.132703007092577 0 0.0571796161996305 -0.00217064261592126 0.0061928437173302 0.00624030837127321 0.00722797671429931 -0.00031418115049997 -0.0133711327821413 0.0305352909665439 0.0134920634920634 1.37 0.92 3.21 0.007
"1982" 2008-07-23 0.0336938056474343 0.00950652371490257 0.0269213657669773 0.0403482334266736 -0.00765155828780584 0.0244184512651509 0.00936000417169036 0.0389692261078196 0.033448152530785 -0.0164238940222593 0.00406416679718102 0.32 0.05 1.61 0.007
"1983" 2008-07-24 -0.0837318886187789 -0.0282511980519826 -0.0672069716131987 -0.0311519362392101 -0.0216224675867397 -0.0374573554229608 -0.0029365666782396 -0.0411370137418647 -0.020926136243716 -0.0192802202353165 -0.0231244225616648 -2.31 0.51 -2.88 0.007
"1984" 2008-07-25 -0.0345954703030392 0.0156904430071325 0.00970866400239223 0.0170476059845857 0.00479719938276868 0.0283017629933759 -0.000774861580421393 -0.00946358918703094 -0.0182388331093669 -0.00245764881853272 0.00416750829312207 0.47 0.91 -1.01 0.007
"1985" 2008-07-28 -0.0513858078358166 -0.0154480561623463 -0.0470647421132228 -0.0159136541120429 -0.0146635674877215 -0.0252292884571823 -0.00977354787262441 -0.0245227279688506 -0.0246733698985387 -0.0142529895469763 -0.0185965643795591 -1.76 0.03 -1.39 0.007
"1986" 2008-07-29 0.148253725531756 0.0258424743869443 0.0820500786576619 0.0159553244791926 0.0330510110980142 0.0239215712352221 0.0267896619839862 0.00228523708774087 0.0157737268470362 0.0255265985564017 0.023356008422742 2.27 -0.3 3.18 0.007
"1987" 2008-07-30 0.0431409106268967 0 0.0201224762136525 0.00403229752482659 0.0125628138866105 0.00459584425679282 0.0157156299177899 0.00684071940206055 0.00615319130694458 0.0193211594835092 0.0166719916220135 1.58 -1.38 -0.09 0.007
"1988" 2008-07-31 -0.0211246331787377 -0.00179984847239334 -0.0226120917469189 -0.00940582498748566 -0.0109181207269108 -0.0194433852247181 -0.01637368306314 -0.00323557704732935 -0.00873632464164076 0.00102437163575586 -0.0131437597282189 -1.16 0.61 0.37 0.007
"1989" 2008-08-01 0.0130699349017998 0.00721086702976836 0.00319918480346093 -0.0238984493615917 -0.000334645914125242 -0.0108863291697737 -0.00809385221329939 -0.0120089797552884 -0.00117489939178528 -0.0148409990291629 -0.00557839477671107 -0.47 0.65 0.85 0.006
"1990" 2008-08-04 -0.0213025609118862 0.007606137951915 -0.0152106724478602 -0.0307137674002387 0.0130501300805708 -0.00628941952976769 0.013395268308082 -0.00887005716383715 -0.00500020980885996 0.011774528768298 -0.00896608649538677 -1.09 -0.22 0.48 0.006
